,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
0,A,38.81B ,39.70B ,31.52 ,25.45 ,3.14 ,5.94 ,6.25 ,6.02 ,23.70 ,10/31/2023,4/30/2024,18.84%,23.71%,7.82%,20.71%,6.59B,22.53,-8.40%,--,1.61B,1.24B,4.22,2.00%,1.67B,5.73,2.73B,43.87%,2.15,21.31,1.9B,924.25M,1.07,22.70%,1.66M,2.85M,291.76M,291.76M,290.61M,4.24M,3.07,1.64%,1.45%,4.12M,0.94,0.71%,0.92,0.69%,21.85%,7/24/2024,7/2/2024,1398:1000,11/3/2014,,
1,AA,7.39B ,8.58B ,-- ,344.83 ,-- ,0.70 ,1.85 ,0.82 ,451.62 ,12/31/2023,3/31/2024,-6.41%,-1.23%,-0.33%,-14.34%,10.48B,58.79,-2.70%,--,564M,-672M,-3.76,--,1.36B,7.56,2.6B,46.98%,1.61,22.24,31M,447M,2.46,22.70%,6.13M,4.73M,179.56M,179.56M,177.49M,12.48M,1.86,8.95%,6.95%,15.41M,0.4,0.97%,0.40,0.97%,5.84%,6/7/2024,5/20/2024,1000:801,11/1/2016,,
2,AACG,26.20M ,23.02M ,-- ,-- ,-- ,0.80 ,1.94 ,0.72 ,-0.94 ,12/31/2023,12/31/2023,-15.19%,10.90%,-5.62%,-26.29%,221.62M,7.06,6.50%,--,-19.51M,-33.66M,-0.1500,324.10%,60.17M,0.96,22.61M,20.01%,0.22,3.59,8.75M,22.55M,1.02,22.70%,25.04k,14.06k,31.95M,31.59M,17.17M,14.14k,0.96,0.17%,0.04%,20.88k,--,--,0.00,0.00%,0.00%,8/24/2018,8/27/2018,--,--,,
3,AACI,82.32M ,84.99M ,-- ,-- ,-- ,-- ,13.47 ,-- ,-- ,9/30/2023,3/31/2024,0.00%,0.00%,-6.28%,--,--,--,--,--,--,-1.64M,-0.14,--,107.72k,0.01,2.78M,--,0.01,-1.35,-1.04M,517.21k,-0.02,22.70%,26.07k,19.67k,7.13M,7.13M,2.04M,7.66k,0.16,0.48%,0.11%,46,--,--,0.00,0.00%,0.00%,--,--,--,--,,
4,AACIU,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,9/30/2023,3/31/2024,0.00%,0.00%,-6.28%,--,--,--,--,--,--,-1.64M,-0.20,--,107.72k,0.01,2.78M,--,0.01,-1.35,-1.04M,517.21k,-0.02,22.70%,236,230,--,--,2.04M,49,0.75,--,--,49,--,--,0.00,0.00%,--,--,--,--,--,,
5,AACIW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-6.28%,--,--,--,--,--,--,-1.64M,--,--,107.72k,0.01,2.78M,--,0.01,0.00,-1.04M,517.21k,-0.02,22.70%,--,--,--,--,2.04M,,,,,,--,--,--,--,--,--,--,--,--,,
6,AACT,666.56M ,669.92M ,28.60 ,-- ,-- ,-- ,1.31 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-0.37%,--,--,--,--,--,--,23.31M,0.37,--,1.64M,0.03,5M,--,4.89,-0.33,-1.61M,-1.51M,--,22.70%,238.67k,539.32k,50M,62.5M,45.12M,3.3k,0.01,--,0.01%,13.25k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
7,AADI,43.46M ,-43.65M ,1.89 ,-- ,-- ,2.00 ,0.48 ,3.48 ,-0.62 ,12/31/2023,3/31/2024,-288.72%,-364.51%,-33.11%,-58.22%,23.84M,0.88,-8.80%,--,-74.44M,-68.83M,-2.5500,--,88.27M,3.6,1.16M,1.29%,5.16,3.68,-58.01M,-35.58M,0.35,22.70%,204.87k,166.84k,24.55M,24.55M,16M,963.95k,5.5,5.81%,3.93%,1.1M,--,--,0.00,0.00%,0.00%,--,--,1:15,8/27/2021,,
8,AAGR,19.21M ,30.84M ,-- ,-- ,-- ,11.00 ,-- ,17.65 ,-- ,12/31/2023,3/31/2024,0.00%,"-3,657.77%",-198.17%,--,1.75M,0.04,-16.90%,--,-43.86M,-46.12M,--,--,67.18k,0,11.7M,--,0.11,--,-5.23M,23.65M,-0.69,22.70%,245.69k,61.54k,57.87M,57.87M,15.32M,374.96k,3.06,1.74%,0.65%,554.63k,--,--,--,--,0.00%,--,--,1395:1000,12/7/2023,,
9,AAGRW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,"-3,657.77%",-198.17%,--,1.75M,0.04,-16.90%,--,-43.86M,-46.12M,--,--,67.18k,0,11.7M,--,0.11,--,-5.23M,23.65M,-0.69,22.70%,--,--,--,--,15.32M,,,,,,--,--,--,--,--,--,--,--,--,,
